Job_Role,Company_Name,City,Work_type,Salary,Job_function,Description,Post_Time
Maths & Further Maths Teacher,The Green School,Abuja,Full Time,"150,000 - 250,000","Research, Teaching & Training",1 month ago,"The Teacher (with Checkpoint, IGCSE, WAEC, BECE experience) will be responsible for maximizing the academic progress of the students they teach, working with colleagues to participate fully in the development of the department. The teacher will promote a positive, purposeful, and professional working atmosphere that encourages cooperation and c ..."
Waiter,Ralsoeng Ventures,Lagos,Full Time,"75,000 - 150,000",Hospitality & Leisure,4 weeks ago,"We seek a dedicated Waiter to provide exceptional dining experiences for our guests. Responsibilities include taking orders, serving food and beverages, and ensuring customer satisfaction. Ideal candidates possess excellent customer service skills and a friendly demeanor."
Store Manager,Aquila Interior Limited,Lagos,Full Time,"75,000 - 150,000",Management & Business Development,1 month ago,"We are looking for an experienced and dynamic Store Manager to lead our furniture store. The ideal candidate will be responsible for overseeing day-to-day store operations, driving sales, managing a team, and ensuring an exceptional shopping experience for customers. As the Store Manager, you will play a key role in creating a positive work env ..."
Sales Representative,Aquila Interior Limited,Lagos,Full Time,"75,000 - 150,000",Sales,1 month ago,"We are seeking a motivated and customer-focused Sales Associate to join our team at a dynamic and growing furniture store. The ideal candidate will be responsible for assisting customers, providing expert advice on furniture products, and helping drive sales. As a Sales Associate, you will play a key role in ensuring customer satisfaction and c ..."
Sales Executive,Tigfox Power Nigeria Limited,Lagos,Full Time,"150,000 - 250,000",Sales,1 month ago,We seek an experienced and qualified Sales Executive to join our team.
Civil Engineer,China Harbour Engineering Company Limited,Enugu,Contract,Confidential,Engineering & Technology,1 month ago,The ideal candidate will be responsible for all Engineering related duties.
Expert 2D Animator (Moho Specialist),Lotus Content Chef,Remote (Work From Home),Full Time,"250,000 - 400,000",Creative & Design,1 month ago,"We are seeking a highly skilled 2D Animator with expert-level proficiency in Moho to join our team. If you have a deep understanding of Moho’s animation capabilities and can create professional, high-quality 2D animations, this role is for you.

The ideal candidate should have extensive experience working on animated explainers, character ani ..."
Content Marketing & Link Building Expert (SEO & Digital PR),Lotus Content Chef,Remote (Work From Home),Full Time,"250,000 - 400,000",Marketing & Communications,1 month ago,"We are looking for a highly skilled Content Marketing & Link Building Expert to help us build high-quality backlinks and improve our search engine rankings organically—no paid backlinks. This role is for a seasoned professional with a proven track record in content outreach, digital PR, and strategic link-building.

If you have experience sec ..."
Marketer,Viluton Energy,Lagos,Full Time,"75,000 - 150,000",Marketing & Communications,1 month ago,We seek a suitable candidate for this position.
Administrative Personnel,Omars Royal Company Ltd.,Rest of Nigeria (Delta),Full Time,"250,000 - 400,000",Admin & Office,1 month ago,We seek a suitable candidate for this position.
Accountant,Omars Royal Company Ltd.,Rest of Nigeria (Delta),Full Time,"250,000 - 400,000","Accounting, Auditing & Finance",1 month ago,We seek a suitable candidate for this position.
Technical Sales Engineer,Bestbier Solutions (Pty) Ltd,Port Harcourt & Rivers State,Full Time,"600,000 - 900,000",Sales,1 week ago,"Bestbier Inspection Solutions is a specialist inspection equipment supplier and manufacturer. Our focus is to discover innovative solutions for specific and challenging inspection tasks. We are the official distributors for well known international equipment manufacturers in all of Sub-Saharan Africa

 



We are seeking a dynamic and res ..."
Architect/Interior Designer,The Showroom,Abuja,Full Time,"250,000 - 400,000",Creative & Design,1 month ago,TheShowroom is looking to hire a qualified candidate to fill in the position of an Interior Designer.
Content Creator,Pop City Shelters Limited,Lagos,Full Time,"150,000 - 250,000",Marketing & Communications,1 month ago,"Pop City Shelters is looking for a highly creative and strategic Content Creator to develop engaging and high-quality content that enhances our brand visibility and drives audience engagement. The ideal candidate should be skilled in content ideation, video editing, graphics design, and social media management, ensuring that our marketing effor ..."
Live Stream Host,Beauty Routine Cosmetics & Embellishments Ltd.,Lagos,Full Time,"75,000 - 150,000",Marketing & Communications,1 month ago,"We are looking for a Live Stream Host to join our team! If you love beauty and enjoy engaging with an audience, this is the perfect opportunity for you!"
Driver,ICST Solutions,Lagos,Full Time,"150,000 - 250,000",Driver & Transport Services,1 month ago,We seek an experienced and competent Driver to join our team.
"Project Coordinator/Senior Engineer, Building’s Extra Low Voltage Services",ICST Solutions,Lagos,Full Time,"250,000 - 400,000",Product & Project Management,1 month ago,We seek a suitable candidate for this position.
Field Sales Representative,Iwule Limited,Lagos,Full Time,"75,000 - 150,000",Sales,1 month ago,"We seek a proactive Field Sales Representative to drive B2B client acquisition, conduct site visits, and close deals for our warehousing and logistic businesses."
Logistics/Inventory Personnel,Veracity Hub,Lagos,Full Time,"75,000 - 150,000",Supply Chain & Procurement,1 month ago,We are looking for a pro active Logistics Personnel who would be in charge of making sure all deliveries/packages get to the customer in good condition.
Sales Person,Veracity Hub,Lagos,Full Time,"75,000 - 150,000",Sales,1 month ago,We are looking for a customer-centric Sales Person who will handle customer's transaction
Executive Assistant,Losgiddy Media,Lagos,Full Time,"75,000 - 150,000",Admin & Office,1 month ago,"We are looking for a highly proactive, intelligent, and strategic thinker who can take ideas and turn them into actions. This is not a basic admin role, we need a Female Executive Assistant who can understand directives, take initiative, and execute tasks independently."
Social Media Manager,Veracity Hub,Lagos,Full Time,"150,000 - 250,000",Marketing & Communications,1 month ago,We are looking for a creative Social Media Manager who will manage all our social media platforms to build a thriving and buying community.
Venue Manager,Regenant Africa Renaissance Ltd.,Lagos,Full Time,"150,000 - 250,000",Estate Agents & Property Management,1 month ago,"We are looking for an organized Venue Manager to handle the operations, maintenance, and bookings for our venue. In this role, you will be required to secure bookings, liaise with event planners, decorators, clients, and client’s vendors to coordinate the logistics of events."
Facility Manager,Dasot Nigeria Limited,Lagos,Full Time,"150,000 - 250,000",Hospitality & Leisure,1 month ago,"We are looking to hire a Facility Manager who will be responsible for overseeing the daily operations and long-term maintenance of a portfolio of residential or commercial properties. This role involves managing tenant relationships, coordinating maintenance and repairs, ensuring regulatory compliance, and optimizing property financial performance."
Marketing Executive,Landgate Properties Investment Limited,Lagos,Full Time,"75,000 - 150,000",Marketing & Communications,1 month ago,We seek a suitable candidate for this position.
Delivery Driver,Denoma group,Lagos,Full Time,"75,000 - 150,000",Driver & Transport Services,1 month ago,"We are looking for a reliable delivery driver who is concerned with customer satisfaction and transporting items in a safe, timely manner."
Executive Assistant to CEO,Landgate Properties Investment Limited,Lagos,Full Time,Confidential,Admin & Office,1 month ago,"A dynamic and impact-driven organization dedicated to advancing gender equity, political inclusion, and governance reform. Our work focuses on designing and implementing high-impact interventions that promote access to resources, representation, and opportunities for women across various sectors

As we continue to expand our reach and influen ..."
Sales Manager,Loctech Nigeria Limited,Lagos,Full Time,"75,000 - 150,000",Sales,1 month ago,"We are seeking a dynamic and results-driven Sales Manager to lead our sales team and drive revenue growth. The ideal candidate will have a proven track record in sales management, exceptional leadership skills, and a passion for achieving targets.

As a Sales Manager, you will be responsible for developing and executing sales strategies, mana ..."
Cybersecurity and Ethical Hacking Instructor,Safari Group of Companies,Port Harcourt & Rivers State,Full Time,"75,000 - 150,000",Software & Data,1 month ago,"We seek an experienced Cybersecurity and Ethical Hacking Tutor to design and deliver training programs, equipping students with essential skills for success. The ideal candidate will have a strong cybersecurity background, hands-on ethical hacking experience, and a passion for teaching."
Quality Control Manager,Seal Group,Rest of Nigeria (Delta),Full Time,"250,000 - 400,000",Quality Control & Assurance,1 month ago,"We are looking to hire a Quality Control Manager to oversee the quality control processes and ensure that products meet the required standards. This includes developing and implementing quality control procedures, conducting audits, and collaborating with production teams to identify and resolve quality issues."
Business Representative,"Salma Private School, The SafeHands",Outside Nigeria,Contract,"75,000 - 150,000",Marketing & Communications,1 month ago,"The Business Representative will be responsible for the effective distribution of marketing materials to relevant organizations within their assigned state. They will act as a key point of contact in their region, ensuring that promotional materials reach the intended businesses, institutions, and potential clients in a timely and efficient manner."
Teacher,KY Avalir,Enugu,Full Time,"75,000 - 150,000","Research, Teaching & Training",1 month ago,"We are seeking a passionate and dedicated Teacher to join our team. The ideal candidate will be responsible for delivering engaging lessons, fostering a positive learning environment, and ensuring the academic growth of students."
Sales Executive,AIICO,Lagos,Full Time,"250,000 - 400,000",Sales,1 month ago,"We are seeking a motivated and customer-focused Sales Executive to join our team. The ideal candidate will be responsible for engaging with customers, providing exceptional service, and achieving sales targets. This role requires excellent communication skills, a strong work ethic, and the ability to work both independently and collaboratively. ..."
Insurance Relationship Manager,Gab Step Services Nig Ltd,Lagos,Full Time,"150,000 - 250,000",Sales,1 month ago,"We are looking for a highly motivated and goal-driven Insurance Relationship Manager to join our team. The ideal candidate will be responsible for building and maintaining strong client relationships, driving sales, and ensuring excellent customer service in the insurance sector."
Sales Associate,Safari Group of Companies,Remote (Work From Home),Full Time,USD 150 - 300,Sales,1 month ago,We are hiring a Sales Associate to recruit students for our partner institution in Malta. This is a full-time role for a sales professional
Human Resource Manager,Safari Group of Companies,Rest of Nigeria (Delta),Full Time,"250,000 - 400,000",Human Resources,1 month ago,"We are looking to hire a Human Resource Manager to set the tone for the human resources department, drive our people strategy, foster a high-performance culture, and ensure an exceptional employee experience from employee relations ,organizational policies & conflict resolution"
Supermarket Manager,Safari Group of Companies,Rest of Nigeria (Delta),Full Time,"400,000 - 600,000",Management & Business Development,1 month ago,"We are looking to hire a supermarket manager with a minimum of 5 years experience working in a supervisory role in various departments in a chain supermarket. A minimum of 3 years working as manager. Expertise in procurement and inventory control, hiring and training staff."
Internal Audit Manager,Seedworks Limited,Rest of Nigeria (Delta),Full Time,"400,000 - 600,000","Accounting, Auditing & Finance",1 month ago,"We are seeking to hire an Internal audit manager to carry out comprehensive, independent reviews of the organization's operations, finances, procedures, practices, policies, and instill overall accounting controls."
Legal Advisory and Corporate Development Associate,Getfit Technologies Ltd,Lagos,Full Time,"250,000 - 400,000",Management & Business Development,1 month ago,We are looking for a highly motivated and detail-oriented Legal Advisory & Corporate Development Associate to join our dynamic team.
Affiliate Marketing Specialist,Capitol Developers and Acquizitions Limited,Abuja,Full Time,"150,000 - 250,000",Marketing & Communications,1 month ago,"We are seeking a highly motivated and results-driven Affiliate Marketing and Loyalty/ Community Specialist to join our dynamic team. In this role, you will develop and manage affiliate programs, build relationships with affiliates, and track campaign performance to drive growth and maximize ROI."
Senior Civil Engineer,N/A,Abuja,Full Time,"400,000 - 600,000",Engineering & Technology,Today,"We are seeking a highly experienced and versatile Civil Engineer with a strong background in construction, particularly in design, site execution, and project registration. The ideal candidate will have a proven track record of successfully managing construction projects from inception to
completion, with the ability to handle both technical d ..."
Live-In House Keeper,Havana Group of Companies,Enugu,Full Time,"75,000 - 150,000",Trades & Services,Today,"We seek a dedicated cleaner/housekeeper to maintain cleanliness and organization in a residential or commercial setting. Responsibilities include performing routine cleaning tasks, such as dusting, vacuuming, mopping floors, and sanitizing bathrooms and kitchen areas."
Admin Intern,Havana Group of Companies,Enugu,Internship & Graduate,"75,000 - 150,000",Admin & Office,Today,"The Administrative Intern will provide support to the day-to-day operations of the administrative department. This role is ideal for individuals looking to gain hands-on experience in a fast-paced professional setting. The intern will assist in managing office tasks, organizing files, and supporting staff with administrative functions."
Accountant,Yemsays Properties and Investments Limited,Lagos,Contract,"75,000 - 150,000","Accounting, Auditing & Finance",Today,"Are you a numbers whiz with strong attention to detail and a hunger to grow in the finance space? Join our fast-paced real estate firm as a Junior Accountant and get hands-on experience managing finances, supporting reporting, and ensuring smooth day-to-day accounting operations."
Treasury Accountant,Prime PowerCo Limited,Lagos,Full Time,"250,000 - 400,000",Engineering & Technology,Today,"We are seeking a highly organized and detail-oriented Treasury Accountant to manage the day-to-day treasury operations and ensure optimal cash flow management, liquidity planning and compliance with financial policies. This role involves overseeing banking relationships,cash forecasting,treasury reporting and supporting strategic financial planning"
Financial Modelling/Management Accountant,Prime PowerCo Limited,Lagos,Full Time,"250,000 - 400,000",Engineering & Technology,Today,"We are seeking a detail-oriented and analytical Financial Modelling/Management Accountant to support strategic decision-making through accurate financial analysis, budgeting, forecasting, and reporting. This role involves developing robust financial models to evaluate business performance, assess investment opportunities & support planning proc ..."
Accountant,Opes Manus Resources Ltd,Lagos,Full Time,Confidential,"Accounting, Auditing & Finance",Today,"We are seeking a skilled and dedicated Accountant to join our finance team. If you have a passion for numbers, a keen eye for detail, and a drive to contribute to our success, we want to hear from you"
Cashier,Zara Capital Investment limited,Lagos,Full Time,"75,000 - 150,000","Accounting, Auditing & Finance",Today,"We are seeking a dedicated and detail-oriented Cashier to join our team. In this role, you will be responsible for handling all financial transactions with accuracy and professionalism. As a crucial point of contact for our customers and Marketers, you will ensure a seamless and positive experience while managing cash."
Maintenance Manager,Jobberman (Third Party Recruitment),Lagos,Full Time,Confidential,Quality Control & Assurance,Today,"We are seeking an experienced and strategic Maintenance Manager to oversee and optimize the operations of our aircraft maintenance department. The successful candidate will be responsible for ensuring productivity, compliance, safety, and customer satisfaction across all maintenance activities. This role requires a strong leader with a solid ba ..."
Quality Control Officer,Exagon pharm ltd,Abuja,Full Time,Confidential,Quality Control & Assurance,Today,"The Quality Control Officer is responsible for ensuring that all water products produced by Exagon Water Factory meet the highest standards of quality and safety. This role involves conducting regular tests and analyses, monitoring production processes, identifying and addressing quality issues, and maintaining accurate records. The ideal candi ..."
Brand Design Associate,Redwire Marketing Consulting,Lagos,Full Time,"250,000 - 400,000",Creative & Design,Today,"The Brand Design Associate is responsible for developing unique concepts, graphics, layouts and visuals, communications designs, stories, systems and content for brands. You are also responsible for translating brand strategy elements into visual design."
Head of Research,Redwire Marketing Consulting,Lagos,Full Time,"400,000 - 600,000","Research, Teaching & Training",Today,"As the Head of Research, you will lead all our research efforts, conducting research, collecting and analysing information, and using the data to solve problems and improve the decision-making and efficiency of the business and its clients."
Brand & Creative Designer,Redwire Marketing Consulting,Lagos,Full Time,"400,000 - 600,000",Creative & Design,Today,"As the Assistant Head of Brands and Creative Design, you are responsible for stewarding the vision, strategy, and execution of all creative designs, including the look, tone, messaging, and sonic branding of all visual communications across platforms. You will combine a passion for client experience, incredible design expertise, and innovation  ..."
Assistant Head of Marketing,Redwire Marketing Consulting,Lagos,Full Time,"400,000 - 600,000",Marketing & Communications,Today,"As the Assistant Head of Marketing, you would be required to design, implement, and monitor marketing strategies to keep us and our clients aligned with our business goals. You will also be expected to oversee and direct the marketing department and should possess a proven track record in end-to-end project management and digital marketing campaign"
Head of Political Intelligence,Redwire Marketing Consulting,Lagos,Full Time,"400,000 - 600,000",Consulting & Strategy,Today,"As the Head of Political Intelligence, you would be required to study the development of political systems, research various political subjects, and collect and analyze data. You will also be expected to predict political, social, and economic trends, evaluate cultures, values, and political ideologies, and present unbiased reports."
Corporate Marketing Specialist,Zara Capital Investment limited,Lagos,Full Time,"75,000 - 150,000",Marketing & Communications,Today,"The Corporate Marketing Specialist will be responsible for driving business-to-business sales of consumer goods by identifying and engaging potential corporate clients through strategic outreach, presentations, and proposals. The role involves developing targeted marketing strategies, cultivating strong client relationships, and achieving sales."
Video Content Creator,FLAC Institute,Remote (Work From Home),Contract,"75,000 - 150,000",Creative & Design,Today,"As a Contract Content Creator at Flac Institute, you will be responsible for developing and delivering high-quality, engaging video content that aligns with our mission of empowering professionals and students through language learning and vocational education. You will work closely with the creative, marketing, and social media teams to produce co"
Operations Manager,Farmgistics Nig,Imo,Full Time,"150,000 - 250,000",Farming & Agriculture,Today,"As the Operations Head, you will be responsible for overseeing and optimizing all aspects of our poultry farm operations. You will be in charge of managing the day-to-day activities, ensuring efficient production, implementing process improvements. The role requires a deep understanding of poultry health, biosecurity, productivity and profitability"
Marketing Team Lead,Jobberman (Third Party Recruitment),Abeokuta & Ogun State,Full Time,"400,000 - 600,000",Marketing & Communications,Today,"The Marketing Team Lead will be responsible for developing and executing strategic marketing plans to promote the farm resort locally and internationally. The goal is to drive brand awareness, attract high-quality leads, and increase both private and corporate bookings."
Agricultural Marketer,Shabach Farms Limited,Lagos,Full Time,"150,000 - 250,000",Marketing & Communications,Yesterday,"We seek to hire an exceptional Agricultural Marketer to help in the planning, developing, and organising advertising policies and source and supply the agricultural produce to support sales objectives"
Quantity Surveyor,RKK Group,Lagos,Full Time,"250,000 - 400,000",Building & Architecture,Today,"RKK group is looking for a quantity surveyor who will provide cost and material estimate, draw up projected material estimates with the team, ensuring projects remains within budget"
Administrative Officer,StartCraft International Limited,Abuja,Full Time,"75,000 - 150,000",Admin & Office,Today,"An Administrative Officer is responsible for providing administrative support to a team or organization. The role involves managing day-to-day operations, coordinating tasks, and ensuring the smooth functioning of the organization."
Grants and Development Officer,Training Heights,Lagos,Full Time,"75,000 - 150,000",Management & Business Development,Today,"The Grants & Development Officer is responsible for identifying, cultivating, and securing financial and in-kind support to advance the organization's mission. This role involves writing grant proposals, engaging with donors, and developing strategic partnerships that support programs, research, infrastructure, and outreach initiatives."
IT/ Systems Analyst,Training Heights,Lagos,Full Time,"150,000 - 250,000",Engineering & Technology,Today,The IT/Systems Analyst supports the auditing and advisory functions of the organization by evaluating client IT systems and processes against applicable ISO standards and best practices.
Fleet Telematics SaaS Sales Executive,PoweredUp Consulting,Lagos,Full Time,"75,000 - 150,000",Sales,Today,"The Fleet Telematics (vehicle tracking) SaaS Sales Executive will be responsible for generating B2B leads, building relationships and rapport with potential right fit customers/clients- tier A Multinationals.

The Fleet Telematics (vehicle tracking) SaaS Sales Executive is expected to work on site at Lagos Office up to 45% and remotely up to  ..."
Warehouse Materials Manager,Seedworks Limited,Lagos,Full Time,"400,000 - 600,000",Engineering & Technology,Yesterday,We are seeking to hire a highly skilled Warehouse Materials Manager to join our team.
ELV Trainee Technician (Extra Low Voltage Work),Off-Field Concepts Ltd.,Abuja,Internship & Graduate,"75,000 - 150,000",Engineering & Technology,Today,"The ELV Trainee Technician role is designed for individuals seeking to build a career in ELV systems. The position offers hands-on training in installation, maintenance, and troubleshooting under the guidance of experienced professionals. This is an excellent opportunity for recent graduates or technical school graduates."
Civil Engineer,Elite Logistics Development Services Limited,Lagos,Full Time,"150,000 - 250,000",Engineering & Technology,Today,"Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including public works such as roads, bridges, canals, dams, airports, sewage systems, pipelines, structural components of buildings, and railways."
Finance Officer,Work in Nigeria Recruitment Agency,Lagos,Full Time,"250,000 - 400,000","Accounting, Auditing & Finance",Yesterday,"A Finance Officer, is  responsible for managing an organization's financial resources, including budgeting, financial reporting, and ensuring compliance with financial regulations, while also providing financial analysis and support to other departments."
Operations Manager,Fitplus Gym and Health Studio,Lagos,Full Time,"75,000 - 150,000",Management & Business Development,Today,"We are seeking a highly organized and proactive Operations Manager to oversee day-to-day operations, ensure smooth workflow across departments, and uphold service excellence across all touchpoints of our gym"
Brand and Communication Manager,Work in Nigeria Recruitment Agency,Lagos,Full Time,"900,000 - 1,200,000",Marketing & Communications,Yesterday,"The Brands and Corporate Communications Manager is responsible for managing all aspects of brand communication, corporate messaging, and public relations initiatives to enhance the company's reputation, increase brand awareness, and support business objectives"
Shop Manager,Promatic Nigeria,Lagos,Full Time,"150,000 - 250,000",Management & Business Development,Today,"The ideal candidates would work within the gaming hall team, reporting to the Head, Gaming Cafe Ops to ensure people management, smooth Revenue Reporting, Reconciliation and Incidence Management at assigned location."
Marketer,StartCraft International Limited,Abuja,Full Time,"75,000 - 150,000",Marketing & Communications,Today,"A Marketer is responsible for promoting and selling products, services, or ideas to target audiences. The role involves developing and implementing marketing strategies, creating engaging content, and analyzing data to measure campaign effectiveness."
Sound Editor,StartCraft International Limited,Abuja,Part Time,"75,000 - 150,000",Marketing & Communications,Today,"A Sound Editor for a radio house is responsible for editing and mixing audio content for various radio programs, including music, news, and entertainment shows. The role involves ensuring high-quality audio production, meeting deadlines, and collaborating with producers and presenters."
Executive Assistant and Admin,Limeswood International Company Limited,Lagos,Full Time,"150,000 - 250,000",Legal Services,Today,"We are seeking an organized, professional, and proactive Executive Assistant with a legal background to support our senior leadership team. This position involves a mix of administrative duties and legal support, assisting in the smooth operation of the executive office while ensuring that all legal matters are handled appropriately."
News Reporter,StartCraft International Limited,Abuja,Full Time,"75,000 - 150,000",Marketing & Communications,Today,"A News Reporter is responsible for researching and presenting news stories to the public through various media channels, including television, radio, and online platforms. The role involves gathering information, conducting interviews, and writing engaging news content."
Radio Presenter,StartCraft International Limited,Abuja,Full Time,"75,000 - 150,000",Marketing & Communications,Today,"We are looking for a Radio Presenter responsible for hosting and presenting radio shows, programs, and segments on various platforms in our radio station."
Legal Services Personnel,Lekki Gardens Estates Limited,Abuja,Full Time,"250,000 - 400,000",Legal Services,Yesterday,"The successful candidate will support the legal team to ensure efficient and effective handling of all legal matters and resources in the Legal department in our Abuja location such as litigation, business transactions, regulatory compliance etc."
Accountant,Omega Pathway Innovative Limited,Ibadan & Oyo State,Full Time,"75,000 - 150,000","Accounting, Auditing & Finance",Today,"We are seeking a highly skilled and detail-oriented Accountant to join our team. The ideal candidate will be responsible for managing the company's financial health by overseeing daily accounting operations, preparing accurate financial reports, and ensuring compliance with internal processes and regulatory standards."
QA/QC Personnel,Focus Point Homes and Properties,Port Harcourt & Rivers State,Full Time,"75,000 - 150,000",Building & Architecture,Today,"At Focus Point Homes and Properties, we are a premier real estate development firm committed to creating exceptional residential and commercial properties. With a strong focus on innovation and sustainability, we strive to enhance the communities we serve.

We are seeking a QA/QC personnel to maintain quality standards, policies, and procedur ..."
Realtor,Focus Point Homes and Properties,Port Harcourt & Rivers State,Full Time,"75,000 - 150,000",Estate Agents & Property Management,Today,"At Focus Point Homes and Properties, we are a premier real estate development firm committed to creating exceptional residential and commercial properties. With a strong focus on innovation and sustainability, we strive to enhance the communities we serve.

We are seeking a creative and dynamic Realtor to develop and implement effective marke ..."
B2B SEO Specialist,Metricoid Technology Solutions Private Limited,Remote (Work From Home),Full Time,"150,000 - 250,000",Marketing & Communications,Today,"We are seeking a dedicated B2B SEO Specialist to join our remote team in Nigeria. This role focuses on implementing effective SEO strategies to enhance Metricoid's visibility, attract high-quality traffic, and generate leads from the USA B2B market."
Dispatch Rider,RNP Services,Lagos,Full Time,"75,000 - 150,000",Driver & Transport Services,Yesterday,We seek to hire an experienced Dispatch Rider in Magodo to help in receiving and delivering parcels and other goods within Lagos
Superstore Inventory Supervisor,RNP Services,Lagos,Full Time,"150,000 - 250,000",Sales,Yesterday,"We are looking for a meticulous and proactive Inventory Supervisor to oversee and manage our inventory operations. The ideal candidate will be responsible for maintaining accurate inventory levels, ensuring quality standards, and preventing loss through effective management practices. This role requires strong organizational and analytical skills,"
Procurement Officer,RNP Services,Lagos,Full Time,"75,000 - 150,000",Supply Chain & Procurement,Yesterday,"This is a full-time hybrid role for a Female Administrative and Procurement Officer at Otito Studio in Lagos, with some flexibility for remote work. The Administrative and Procurement Officer plays a vital role in ensuring the smooth operations of the interior design firm by managing day-to-day administrative tasks and overseeing procurement ac ..."
Sales Manager,DBH Solutions,Lagos,Full Time,"600,000 - 900,000",Sales,Yesterday,"The Sales Manager will implement the sales strategy to achieve new leads, negotiate and close contracts with clients to drive active volume."
Project Architect/ Facilitator,G.O.A Group,Lagos,Full Time,"150,000 - 250,000",Building & Architecture,Yesterday,"We are seeking an Architect to handle all phases of architectural and Interior design work, including planning, design, and supervision. You will also be expected to teach and facilitate interior design and CAD courses at our Interior design school."
Chief Security Officer,N/A,Lagos,Full Time,Confidential,Community & Social Services,Yesterday,"The Chief Security Officer is responsible for the overall security of the school, including the safety of students, staff, and property."
School Administrator,N/A,Lagos,Full Time,Confidential,Admin & Office,Yesterday,"The School Administrator manages administrative functions, ensures policy compliance, and acts as a liaison between teachers, students, and parents."
Facility Manager,Fitplus Gym and Health Studio,Lagos,Full Time,Confidential,Estate Agents & Property Management,Yesterday,"The Facility Manager oversees building maintenance, safety regulations, and facility management to ensure a safe and functional school environment."
Digital Marketing Manager,Scott's Legal,Lagos,Full Time,Confidential,Marketing & Communications,Yesterday,The Digital Marketing Manager develops and executes online marketing strategies to enhance the school’s visibility and brand awareness.
Music Director,Yemsays Properties and Investments Limited,Lagos,Full Time,Confidential,Creative & Design,Yesterday,"The Music Director leads the school’s music program, teaching music theory, instruments, and vocal techniques while preparing students for performances."
Sound Engineer,Allen Professional Services,Lagos,Full Time,Confidential,Engineering & Technology,Yesterday,"The Sound Engineer ensures high-quality audio production for school events, recordings, and broadcasts."
Front Desk Officer,Allen Professional Services,Lagos,Full Time,"75,000 - 150,000",Admin & Office,Today,"Are you friendly, organized, and passionate about providing excellent customer service? A leading gym is seeking a Front Desk Officer to join our dynamic team."
Business Development Manager,Stretford Hill Limited,Lagos,Full Time,Confidential,Management & Business Development,Yesterday,"The Business Development Manager promotes the school’s brand, identifies new opportunities, and develops marketing strategies to attract students and partnerships."
Secondary School Teacher,Stretford Hill Limited,Lagos,Full Time,Confidential,"Research, Teaching & Training",Yesterday,"We seek to hire Secondary School Teachers to teach various subjects. The ideal candidate delivers high-quality education in their subject area, using innovative teaching methods and fostering a dynamic learning environment. They must be skilled in lesson planning, student engagement, and classroom management."
School Counselor,Diamond Star Port and Terminals,Lagos,Full Time,Confidential,Consulting & Strategy,Yesterday,"The School Counselor provides guidance and support to students in academic planning, career development, and personal growth. They help students develop effective study habits, address academic challenges, and offer counseling services to enhance overall student well-being."
School Principal,N/A,Lagos,Full Time,Confidential,Management & Business Development,Yesterday,"The School Principal is responsible for overseeing all aspects of school operations, including academic planning, staff management, budgeting, and curriculum implementation. The role requires setting learning goals, monitoring teacher performance, and ensuring a high standard of education delivery aligned with both British and Nigerian curricula."
Associate Lawyer (NYSC),N/A,Lagos,Internship & Graduate,"75,000 - 150,000",Legal Services,Today,"We are seeking a highly motivated and detail-oriented Intern/NYSC Associate to join our legal team. The ideal candidate will be responsible for reviewing legal documents, attending court proceedings, conducting research, and assisting with various legal duties. This role offers valuable hands-on experience in the legal field."
Social Media Handler/Content Creator,N/A,Lagos,Full Time,"75,000 - 150,000",Sales,Today,"We are looking for a Social Media Manager & Content Creator for our partner firm (SoftNation Homes Property) who is creative, intelligent, and confident in managing online engagement. The ideal candidate should be well-spoken, stylish, and skilled at content creation, with a strong social media presence."
Restaurant Outlet Supervisor,N/A,Imo,Full Time,"150,000 - 250,000",Hospitality & Leisure,Today,The Restaurant Outlet Supervisor manages one of the company's quick-service restaurant outlets and oversees its day-to-day operations. He supervises a set of outlet workers to ensure that the outlet operations are running smoothly in line with the company’s objectives. He ensures that the sales and operations plans of the outlet are delivered.
Accountant,N/A,Imo,Full Time,"150,000 - 250,000","Accounting, Auditing & Finance",Today,The Accounting Manager coordinates the bookkeeping and accounting functions of the company. He oversees the maintenance of all financial records of the company. He oversees the development and achievement of the company’s budgets and financial plans.
Senior HSE Officer,N/A,Lagos,Full Time,"250,000 - 400,000",Health & Safety,Today,"We are seeking a highly experienced Senior Health, Safety, and Environment (HSE) Officer to oversee and implement safety policies on our construction projects."
Procurement Officer,N/A,Lagos,Full Time,"250,000 - 400,000","Research, Teaching & Training",Today,"The Procurement and Logistics Officer is responsible for ensuring the efficient and effective acquisition, storage, and distribution of goods and services to support the organization's operations. This role involves coordinating procurement activities, managing logistics operations, and maintaining strong relationships with suppliers and vendors."
Export Manager (Export Processing Terminal - EPT),N/A,Lagos,Full Time,Confidential,Trades & Services,Yesterday,"The Export Manager will oversee all export operations at the Export Processing Terminal (EPT), ensuring the efficient handling, documentation, clearance, and transportation of goods for international shipment. This role involves managing compliance with customs regulations, export documentation, logistics coordination, and stakeholder engagemen ..."
Marketing Associate,Vivano Beddings & More,Lagos,Full Time,"75,000 - 150,000",Creative & Design,Today,"We are seeking a creative and detail-oriented Marketing Associate to support the planning and execution of marketing campaigns. The ideal candidate will assist in promoting the company’s brand, increasing customer engagement, and driving sales through both online and offline channels. This role requires excellent communication, organizational skill"
